MSA,Net_Absorption_Units_Annual,Absorption_Rate_Pct,Occupancy_Rate_Pct,Vacancy_Rate_Pct,Avg_Effective_Rent_USD,YoY_Rent_Growth_Pct,Total_Units_Under_Construction,Units_Delivered_2024,Units_Delivered_2025,Market_Tier_Absorption,Market_Trend,Concession_Prevalence,Absorption_Data_Source,Market_Commentary
"Abilene, TX",120,85.0,93.5,6.5,850,3.2,50,40,30,Tertiary,Improving,Moderate,CoStar,Steady demand driven by local employment growth and limited new supply has supported rent growth and occupancy.
"Akron, OH",200,78.0,92.8,7.2,950,2.5,120,100,90,Tertiary,Stable,Moderate,Yardi,Market remains stable with moderate rent growth; new deliveries are balanced by steady absorption.
"Albany, NY",350,82.5,94.0,6.0,1400,3.8,180,150,130,Secondary,Improving,Low,CBRE,Strong institutional investment and limited new supply have driven occupancy and rent growth upward.
"Albuquerque, NM",400,88.0,95.2,4.8,1150,4.1,220,180,160,Secondary,Improving,Low,RealPage,Robust demand supported by population growth and job gains has kept vacancy low and rents rising.
"Allentown, PA",300,80.0,93.7,6.3,1300,3.5,140,120,110,Secondary,Stable,Moderate,JLL,Steady absorption and moderate deliveries have maintained a balanced market with stable rent growth.
"Amarillo, TX",150,75.0,92.5,7.5,900,2.8,60,50,40,Tertiary,Stable,Moderate,CoStar,Market shows steady demand with moderate rent growth; new supply is being absorbed at a healthy pace.
"Anchorage, AK",180,70.0,91.0,9.0,1300,1.5,80,70,60,Secondary,Softening,High,Yardi,Economic headwinds and increased supply have softened absorption and increased concessions.
"Ann Arbor, MI",400,90.0,95.5,4.5,1600,5.0,200,170,150,Secondary,Improving,Low,CBRE,Strong university-driven demand and limited new supply have supported high occupancy and rent growth.
"Annapolis, MD",220,85.0,94.0,6.0,1700,3.7,90,80,70,Secondary,Stable,Moderate,JLL,Stable market with steady demand from government and military sectors supporting occupancy.
"Appleton, WI",180,80.0,93.0,7.0,1000,2.9,70,60,50,Tertiary,Stable,Moderate,CoStar,Moderate absorption and deliveries have kept the market balanced with modest rent growth.
"Asheville, NC",350,90.0,95.0,5.0,1400,4.5,150,130,120,Secondary,Improving,Low,RealPage,Strong lifestyle demand and limited new supply have driven strong rent growth and high occupancy.
"Atlanta, GA",8500,95.0,96.5,3.5,1800,6.0,7000,6500,6000,Primary,Improving,Low,CBRE,Robust population and job growth continue to fuel strong absorption and rent growth in this primary market.
"Atlantic City, NJ",150,70.0,91.5,8.5,1200,1.8,40,35,30,Tertiary,Softening,High,Yardi,Tourism-driven market facing softness due to increased supply and seasonal demand fluctuations.
"Augusta, GA",220,80.0,93.2,6.8,950,3.0,90,80,70,Tertiary,Stable,Moderate,CoStar,Steady demand from healthcare and military sectors supports stable absorption and rent growth.
"Austin, TX",12000,98.0,97.0,3.0,2100,7.5,9000,8500,8000,Primary,Improving,Minimal,JLL,Strong tech-driven job growth and population influx continue to drive exceptional absorption and rent growth.
"Bakersfield, CA",450,85.0,95.2,4.8,1350,4.2,600,350,400,Tertiary,Improving,Moderate,CoStar,"Bakersfield continues to see steady demand driven by affordability relative to coastal California markets, supporting rent growth and healthy absorption."
