CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,MSA,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,8.0,7.5,7.50% - 8.00%,8.5,8.0,,,,Marcus & Millichap,Smaller tertiary Texas market with limited investor interest and higher risk premiums.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Abilene, TX",Tertiary,,65000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CBRE,Mid-secondary Ohio market with steady demand and moderate cap rate expansion.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Akron, OH",Secondary,,85000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Strong secondary Northeast market with balanced fundamentals and moderate investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Albany, NY",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CoStar,Mid-secondary Southwest market with stable cap rates and moderate investor demand.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Albuquerque, NM",Secondary,,90000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap H2 2025,Limited investor interest with moderate rent growth prospects keeps cap rates elevated.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Alexandria, LA",Tertiary,55000.0,65000
5.25,4.75,4.75% - 5.25%,5.5,5.0,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.0,5.5,6.5,6.0,6.00% - 6.50%,CBRE H2 2025,"Strong demand driven by proximity to Washington, DC and limited supply growth.",5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Alexandria, VA",Primary,220000.0,320000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Secondary PA market benefiting from spillover demand from Philadelphia and NYC.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Allentown, PA",Secondary,,95000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Tertiary Texas market with limited liquidity and higher risk premiums.,7.25,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Amarillo, TX",Tertiary,,60000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,JLL,Isolated market with stable fundamentals but moderate investor demand due to geographic risk.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Anchorage, AK",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,University-driven market with steady demand and moderate cap rate stability.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Ann Arbor, MI",Secondary,,110000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Suburban DC market with strong investor interest and relatively tight cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Annapolis, MD",Secondary,,140000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Midwestern secondary market with stable fundamentals and moderate investor demand.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Appleton, WI",Tertiary,,85000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CoStar,Growing secondary Southeast market with strong lifestyle appeal and steady investor interest.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Asheville, NC",Secondary,,120000
