city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url
Arlington TX,Balfour Lofts,Downtown Arlington (former Johnny Balfour Electronics site),65,Mixed-Use,Proposed,2025-01-01,2027-12-01,Pershing Capital,https://downtownarlington.org/do-business/emerging-projects
Arlington TX,Mercantile Lofts,Arlington Highlands,248,Class A,Under Construction,2025-04-01,2027-06-01,Bridgeview Construction,https://bvcapitaltx.com/investments/current-assets/bvcap-mercantile-investors-arlington/
Arlington TX,ZIP 76002 Project,Arlington (ZIP 76002),273,Class A,Under Construction,2025-01-01,2026-01-01,Unknown,https://mmgrea.com/dallas-fort-worth-q2-2025-pipeline-report/
Atlanta GA,1081 Juniper St North Tower,1081 Juniper St,320,Luxury,Under Construction,2024-06-01,2025-02-01,Middle Street Partners,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025
Atlanta GA,1081 Juniper St South Tower,1081 Juniper St,167,Luxury,Under Construction,2024-06-01,2025-02-01,Middle Street Partners,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025
Atlanta GA,Ben Hill,Southwest Atlanta,236,Class A,Under Construction,2025-01-01,2026-08-01,Wood Partners,https://www.woodpartners.com/wood-partners-breaks-ground-on-three-attainable-living-communities-in-georgia-tennessee-and-florida/
Atlanta GA,Englewood IIB Multifamily,Englewood Manor area,200,Mixed-Income,Under Construction,2024-08-01,2025-12-01,Atlanta Housing,https://www.atlantahousing.org/real-estate/development/
Atlanta GA,Herndon Square Phase II,Herndon Square,170,Affordable,Under Construction,2024-01-01,2026-03-01,Atlanta Housing,https://www.atlantahousing.org/real-estate/development/
Atlanta GA,Modera Parkside,Midtown (near Piedmont Park),361,Luxury,Under Construction,2024-08-01,2025-09-01,Mill Creek Residential,https://atlanta.urbanize.city/post/6-atl-development-stories-watch-2025
Boise ID,Ashcreek Multi-Family,Unknown,156,Class A,Under Construction,2025-01-01,2026-12-01,Unknown,https://www.djc.com/stories/images/permits/CityofBoise0601-0630.pdf
Boise ID,Dorado Station,Unknown,212,Affordable,Under Construction,2025-01-01,2026-06-01,Unknown,https://www.cityofboise.org/media/20448/developmenttrends_august-2025_final.pdf
Boise ID,Sycamore Commons,Unknown,18,Unknown,Under Construction,2025-01-01,2025-12-01,Unknown,https://www.cityofboise.org/media/20448/developmenttrends_august-2025_final.pdf
Bradenton FL,Alton Palmetto,Northern Manatee County,276,Class A,Under Construction,2025-01-01,2026-10-01,Kolter,https://www.kolter.com/kolter-multifamily-begins-newest-florida-project/
